date,rea,cpi,crude_prod_millions_barrels_day,crude_prod_millions_barrels_day_nsa,price_per_barrel,price_per_barrel_nsa,wip,dprod,dwip,rpoil
2009-01-01,-55.611143,211.933,72371.7826577669,72485.235,36.84,36.84,100.4904,-0.9353829834120475,-2.8701356299093206,-174.96859755986077
2009-02-01,13.839555,212.705,72660.8787931913,72875.503,38.56,38.56,101.3404,0.3986640187431334,0.8422946600200376,-170.76907594748138
2009-03-01,21.6357,212.495,72631.2668563343,72709.632,45.96,45.96,100.8404,-0.040761924375942726,-0.4946078156976341,-153.11470056953308
2009-04-01,5.1328307,212.709,73235.261563079,72994.151,49.58,49.58,101.0283,0.8281518252250208,0.18616066211869509,-145.63375078210387
2009-05-01,47.749338,213.022,73091.4452808245,72595.179,56.77,56.77,101.6028,-0.1965688036920099,0.5670418206828565,-132.23874295780954
2009-06-01,87.97858,214.79,73231.231059525,72726.703,66.37,66.37,102.5956,0.1910651509687611,0.9723953007072517,-117.44156594583384
2009-07-01,75.327081,214.726,73743.2012509486,73687.155,63.46,63.46,103.5034,0.6966820747630109,0.8809415580583568,-121.89530106059662
2009-08-01,52.675905,215.445,73373.6252674078,73145.54,68.09,68.09,104.3562,-0.5024262278180203,0.8205584779616082,-115.18752970570205
2009-09-01,39.367648,215.861,73848.6450435455,73584.571,67.65,67.65,105.5352,0.64531191315087,1.1234499369646045,-116.0287327401934
2009-10-01,54.767,216.509,73763.1268467445,74041.585,72.06,72.06,106.0477,-0.11586908723284495,0.4844446335757979,-110.01330116973695
2009-11-01,90.730261,217.234,73565.567115742,74165.539,74.4,74.4,107.0355,-0.2681892360573812,0.9271562245021236,-107.15191717232014
2009-12-01,81.016015,217.347,73358.7872971405,73862.078,72.67,72.67,107.667,-0.2814781197495009,0.5882575387532896,-109.55665100885012
2010-01-01,69.117285,217.488,73924.8616558457,74045.54594696118,75.07,75.07,109.6685,0.7686897358874845,1.8419048757770895,-106.37226650079812
2010-02-01,52.578126,217.281,74143.2084305162,74360.29494696119,73.73,73.73,109.5251,0.2949277758702351,-0.13084325496581783,-108.07816747145877
2010-03-01,70.740204,217.353,74527.9945667633,74606.7539469612,76.77,76.77,111.1295,0.5176348716782186,1.4542441219203894,-104.0708821122237
2010-04-01,65.636639,217.403,74601.4907501263,74359.84394696119,80.03,80.03,111.635,0.09856694557388579,0.4538432898097078,-99.93512096609646
2010-05-01,89.068023,217.29,74840.3991562038,74339.71394696119,71.15,71.15,112.5807,0.3197344596719276,0.8435676966825234,-111.6442542339483
2010-06-01,67.535776,217.199,74481.6873226278,73974.67494696118,71.91,71.91,112.3613,-0.4804547432557982,-0.19507256943933626,-110.53986468832137
2010-07-01,19.475628,217.605,74286.1006420872,74224.58094696118,73.27,73.27,112.8854,-0.2629423962066113,0.4653572689979235,-108.85302444871026
2010-08-01,43.659312,217.923,74324.9781868049,74098.63594696119,73.52,73.52,113.3088,0.05232119423528303,0.3743690107911313,-108.65843113387821
2010-09-01,54.821579,218.275,74677.5245140244,74409.62594696118,73.15,73.15,113.5702,0.47320948131961416,0.23043130097226694,-109.32436082307379
2010-10-01,53.681805,219.035,74469.4920441514,74744.62994696118,76.9,76.9,114.1142,-0.27896314600663885,0.47785534289292997,-104.6725657887068
2010-11-01,38.731614,219.59,74469.0173917802,75072.43594696118,79.92,79.92,114.7718,-6.37380316170777e-4,0.574610775121176,-101.0736036917602
2010-12-01,25.152418,220.472,74654.1996029696,75163.46694696118,85.59,85.59,116.1199,0.24836146927391667,1.1677468867380192,-94.62022488032315
2011-01-01,-12.136922,221.187,75797.4315462047,75925.41366097397,87.61,87.61,117.7303,1.5197627816647241,1.3773137312409034,-92.61133508992826
2011-02-01,-29.371686,221.898,75270.0502619755,75489.33866097397,91.42,91.42,117.5355,-0.698209065754618,-0.1655999677957709,-88.6753543925382
2011-03-01,-6.2764673,223.046,74362.4800288058,74441.36866097397,102.43,102.43,117.1961,-1.2130802853377531,-0.2891815473691217,-77.81983897661944
2011-04-01,-17.164298,224.093,74529.7661016828,74286.66666097398,113.02,113.02,116.6106,0.22470766291071698,-0.5008421263406504,-68.44963500619957
2011-05-01,-16.615835,224.806,74162.0376667817,73656.32966097398,107.98,107.98,117.684,-0.4946193068912308,0.9162887322863078,-73.3291783264672
2011-06-01,-10.642209,224.806,74955.3334792156,74445.66866097397,105.38,105.38,117.9905,1.0639985004569752,0.2601046551924391,-75.76649432736733
2011-07-01,-15.574762,225.395,74906.6146356439,74840.03766097398,105.94,105.94,118.3499,-0.06501829970950723,0.30413782581133475,-75.49815224570958
2011-08-01,-14.163892,226.106,75525.8289689701,75301.61166097397,99,99,118.6061,0.8232503783229816,0.21624276222977912,-82.58840657277979
2011-09-01,14.075958,226.597,74953.4161977067,74681.63066097397,101.05,101.05,118.533,-0.7607900100392584,-0.06165158113144997,-80.75576654686407
2011-10-01,26.05286,226.75,74985.6818734224,75258.02566097397,101.99,101.99,118.5491,0.0430383757523245,0.013581792994710185,-79.89733197328192
2011-11-01,13.884176,227.169,75631.5761483331,76238.92466097398,107.67,107.67,118.14075730506754,0.8576682947143865,-0.3450448656415084,-74.66232400481157
2011-12-01,15.837886,227.223,76080.1910995055,76595.46966097398,106.52,106.52,118.41470415791356,0.5914060153367373,0.2316133169083301,-75.7599153171978
2012-01-01,-42.933714,227.842,76632.6628497181,76765.30451043224,105.25,105.25,119.33437715532204,0.7235463763139549,0.7736539544152876,-77.23139337124806
2012-02-01,-82.135162,228.329,76767.782108315,76987.85451043224,108.08,108.08,119.58573725959694,0.17616545190364263,0.21041359169737817,-74.7915877659896
2012-03-01,-62.085533,228.807,76800.4064823747,76880.10351043224,111,111,118.9905410917926,0.042488453956401884,-0.49895773942374433,-72.33486521309038
2012-04-01,-44.847056,229.187,77441.1151791922,77197.09451043225,108.54,108.54,118.15970701999298,0.8307910543511099,-0.7006844628013376,-74.74194955740535
2012-05-01,-36.856578,228.713,77008.5047629434,76499.23051043224,103.26,103.26,118.86664944643007,-0.5601976201218051,0.596511319003401,-79.52178629875267
2012-06-01,-52.714194,228.524,76806.9960008575,76295.14451043223,92.18,92.18,118.3926607642689,-0.26201374551586554,-0.399553815035425,-90.78980503490935
2012-07-01,-40.620302,228.59,76620.263129259,76549.35851043224,92.99,92.99,118.52036283139525,-0.24341562882437273,0.10780503119338647,-89.9438045381851
2012-08-01,-73.858873,229.918,76751.1970075892,76528.93751043224,97.04,97.04,118.16673072549602,0.17074090580102563,-0.298818464263384,-86.25994589792853
2012-09-01,-81.495526,231.015,76229.573404465,75955.27851043224,101.82,101.82,117.75755242288896,-0.6819492714637221,-0.3468729097478196,-81.92760950043485
2012-10-01,-51.804177,231.638,76296.426847067,76567.77951043224,100.92,100.92,118.35596815169392,0.08766170590313038,0.5068892358552901,-83.08476844600811
2012-11-01,-44.160317,231.249,76490.6899341513,77102.62651043224,98.07,98.07,118.195667997994,0.25429263390783774,-0.1355308133534905,-85.78135426546315
2012-12-01,-61.998349,231.221,76464.0863260789,76985.27951043224,93.7,93.7,118.57286011270736,-0.034786240732209706,0.31861703649349593,-90.32757738788374
2013-01-01,-72.502351,231.679,76284.8106319839,76420.5107694,97.91,97.91,119.048967455947,-0.234732662535464,0.4007274796528293,-86.13041035237138
2013-02-01,-76.259286,232.937,75987.6970350034,76207.3977694,99.23,99.23,119.02866143345256,-0.3902398122777484,-0.01705832054730294,-85.33276428124991
2013-03-01,-59.592743,232.282,76334.1698605071,76413.8997694,99.11,99.11,119.35038495946846,0.4549227633560804,0.2699261753281057,-85.172180634608
2013-04-01,-59.455072,231.797,77086.5697336997,76839.2897694,96.45,96.45,119.80717869674264,0.980839888017826,0.38200279830187256,-87.68372492786179
2013-05-01,-61.949907,231.893,77218.0644350367,76704.2567694,98.5,98.5,119.89250139482284,0.17043523530713145,0.07119133546709122,-85.62195102031018
2013-06-01,-52.063827,232.445,77273.1435717323,76758.4047694,97.17,97.17,119.38053640623478,0.07130391397645042,-0.4279343586596873,-87.21916160517516
2013-07-01,-34.344395,232.9,77349.0473386356,77273.8187694,101.56,101.56,120.06179493641288,0.09817966302705372,0.5690392042639658,-82.99594200538176
2013-08-01,-37.583312,233.456,77248.9938032999,77028.3037694,104.16,104.16,120.62158187704878,-0.1294370207613582,0.4651654446857556,-80.70654440614075
2013-09-01,6.0153276,233.544,76833.6475301935,76558.1527694,103.49,103.49,120.99892306608189,-0.5391227402725463,0.3123422789742314,-81.3895506507716
2013-10-01,17.515767,233.669,76566.2017015725,76837.9607694,97.84,97.84,120.81653939296628,-0.34869147647835774,-0.15084536434883944,-87.05720926723711
2013-11-01,-1.4004359,234.1,76522.4783458126,77139.8017694,90.36,90.36,121.39299775045774,-0.057121606816679105,0.4760006172529252,-95.19466828970626
2013-12-01,31.952245,234.719,77037.7238241146,77565.4347694,90.57,90.57,121.2350712992764,0.6710689418511606,-0.1301798873499571,-95.22660216033744
2014-01-01,-7.2746509,235.288,77648.5332831385,77787.9774128041,89.71,89.71,122.2947784231484,0.7897438920588584,0.8702948026327206,-96.42280501366136
2014-02-01,-32.816349,235.547,78057.1537556242,78277.62641280411,96.1,96.1,122.99393056930916,0.5248638226641233,0.5700662231261866,-89.65211529392604
2014-03-01,-6.4576321,236.028,77553.2409645112,77633.8494128041,97.13,97.13,122.80862122821895,-0.6476618139419799,-0.15077904996712022,-88.79001546415168
2014-04-01,-41.5238,236.468,77680.3538766839,77428.63841280411,97.33,97.33,123.28358667038096,0.1637698859104475,0.38600655906222414,-88.77056257849165
2014-05-01,-46.839131,236.918,78120.6319553849,77600.92241280411,98.46,98.46,122.99587285905162,0.5651815979641484,-0.2336483462880068,-87.80637153750052
2014-06-01,-55.202372,237.231,78422.6442668912,77903.58141280411,100.26,100.26,123.2257264918003,0.3858520065447735,0.18670474087123523,-86.12675381484988
2014-07-01,-68.757928,237.498,78238.5364137529,78157.9104128041,98.75,98.75,123.45360970387436,-0.23503964044575554,0.1847607346563862,-87.75677986053758
2014-08-01,-52.199568,237.46,78711.3198384021,78491.3194128041,93.23,93.23,122.25831169856602,0.6024661200356718,-0.9729340175162804,-93.4929629929044
2014-09-01,-33.965479,237.477,79503.9537414925,79227.60741280411,89.38,89.38,123.48572963177848,1.0019772637289037,0.9989484453281072,-97.71738331746279
2014-10-01,-35.735187,237.43,79938.8273266972,80212.03941280411,82.75,82.75,122.6534265753857,0.5454930736179975,-0.676289170279798,-105.4048828931979
2014-11-01,-16.316621,236.983,79350.919114099,79975.4634128041,74.34,74.34,123.5449340741413,-0.7381653813471445,0.7242220403196775,-115.93392437355028
2014-12-01,-53.992272,236.252,80313.1884070426,80847.80941280411,57.36,57.36,123.8256227942496,1.2053816714240995,0.2269379542382488,-141.55518356551198
2015-01-01,-75.842842,234.747,79963.5015947427,80106.3621871,44.74,44.74,124.51339629768128,-0.43635461544369036,0.5539002806606241,-165.7640382392014
2015-02-01,-105.52504,235.342,79769.0938014181,79989.9991871,47.18,47.18,124.177040486805,-0.24341667877383344,-0.2705017694460743,-160.70697013629663
2015-03-01,-99.068296,235.976,80843.0158000572,80924.8551871,47.22,47.22,124.13239125563145,1.3373063913670435,-0.03596257406854875,-160.89125732817104
2015-04-01,-96.365917,236.222,80783.7109130016,80528.0681871,51.62,51.62,124.06245844535664,-0.07338500373439416,-0.05635315334684421,-152.08628465409913
2015-05-01,-95.575602,237.001,80993.4800815501,80467.9041871,57.51,57.51,123.74836754574204,0.25933110201954435,-0.25349261199556494,-141.61055148098492
